AGI,mRNA,description
AT3G58450,AT3G58450.1,Adenine nucleotide alpha hydrolases-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825014]
AT3G58460,AT3G58460.2,RHOMBOID-like protein 15 [Source:NCBI gene (formerly Entrezgene);Acc:825015]
AT3G58470,AT3G58470.1,nucleic acid binding / methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:825016]
AT3G58480,AT3G58480.1,calmodulin-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:825017]
AT3G58490,AT3G58490.1,Phosphatidic acid phosphatase (PAP2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825018]
AT3G58500,AT3G58500.1,protein phosphatase 2A-4 [Source:NCBI gene (formerly Entrezgene);Acc:825019]
AT3G58510,AT3G58510.1,DEA(D/H)-box RNA helicase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825020]
AT3G58520,AT3G58520.1,Ubiquitin carboxyl-terminal hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825021]
AT3G58530,AT3G58530.1,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825022]
AT3G58540,AT3G58540.1,""
AT3G58550,AT3G58550.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825024]
AT3G58560,AT3G58560.1,DNAse I-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825025]
AT3G58570,AT3G58570.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825026]
AT3G58580,AT3G58580.1,DNAse I-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825027]
AT3G58590,AT3G58590.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825028]
AT3G58600,AT3G58600.1,Adaptin ear-binding coat-associated protein 1 NECAP-1 [Source:NCBI gene (formerly Entrezgene);Acc:825029]
AT3G58610,AT3G58610.1,ketol-acid reductoisomerase [Source:NCBI gene (formerly Entrezgene);Acc:825030]
AT3G58620,AT3G58620.1,tetratricopetide-repeat thioredoxin-like 4 [Source:NCBI gene (formerly Entrezgene);Acc:825031]
AT3G58630,AT3G58630.1,sequence-specific DNA binding transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:825032]
AT3G58640,AT3G58640.1,Mitogen activated protein kinase kinase kinase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825033]
AT3G58650,AT3G58650.1,GPI-anchored adhesin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825034]
AT3G58660,AT3G58660.1,Ribosomal protein L1p/L10e family [Source:NCBI gene (formerly Entrezgene);Acc:825035]
AT3G58670,AT3G58670.1,"2-aminoethanethiol dioxygenase, putative (DUF1637) [Source:NCBI gene (formerly Entrezgene);Acc:825036]"
AT3G58676,AT3G58676.1,
AT3G58680,AT3G58680.1,multiprotein bridging factor 1B [Source:NCBI gene (formerly Entrezgene);Acc:825037]
AT3G58690,AT3G58690.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825038]
AT3G58700,AT3G58700.1,Ribosomal L5P family protein [Source:NCBI gene (formerly Entrezgene);Acc:825039]
AT3G58710,AT3G58710.1,WRKY DNA-binding protein 69 [Source:NCBI gene (formerly Entrezgene);Acc:825040]
AT3G58720,AT3G58720.2,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825041]
AT3G58730,AT3G58730.1,vacuolar ATP synthase subunit D (VATD) / V-ATPase D subunit / vacuolar proton pump D subunit (VATPD) [Source:NCBI gene (formerly Entrezgene);Acc:825042]
AT3G58740,AT3G58740.1,citrate synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825043]
AT3G58750,AT3G58750.1,citrate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:825044]
AT3G58760,AT3G58760.1,Integrin-linked protein kinase family [Source:NCBI gene (formerly Entrezgene);Acc:825045]
AT3G58770,AT3G58770.1,""
AT3G58780,AT3G58780.3,K-box region and MADS-box transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:825047]
AT3G58790,AT3G58790.1,galacturonosyltransferase 15 [Source:NCBI gene (formerly Entrezgene);Acc:825048]
AT3G58795,AT3G58795.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008093]
AT3G58800,AT3G58800.1,secretion-regulating guanine nucleotide exchange factor [Source:NCBI gene (formerly Entrezgene);Acc:825049]
AT3G58810,AT3G58810.1,metal tolerance protein A2 [Source:NCBI gene (formerly Entrezgene);Acc:825050]
AT3G58820,AT3G58820.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825051]
AT3G58830,AT3G58830.1,haloacid dehalogenase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825052]
AT3G58840,AT3G58840.1,Tropomyosin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825053]
AT3G58850,AT3G58850.1,phy rapidly regulated 2 [Source:NCBI gene (formerly Entrezgene);Acc:825054]
AT3G58860,AT3G58860.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825055]
AT3G58865,AT3G58865.1,
AT3G58877,AT3G58877.1,""
AT3G58880,AT3G58880.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825057]
AT3G58890,AT3G58890.1,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825058]
AT3G58900,AT3G58900.4,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825059]
AT3G58910,AT3G58910.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:825060]
AT3G58920,AT3G58920.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825061]
AT3G58930,AT3G58930.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825062]
AT3G58940,AT3G58940.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825063]
AT3G58950,AT3G58950.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825064]
AT3G58960,AT3G58960.1,F-box/RNI-like/FBD-like domains-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825065]
AT3G58970,AT3G58970.1,magnesium transporter 6 [Source:NCBI gene (formerly Entrezgene);Acc:825066]
AT3G58975,AT3G58975.1,
AT3G58980,AT3G58980.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:825067]
AT3G58990,AT3G58990.1,isopropylmalate isomerase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825068]
AT3G59000,AT3G59000.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825069]
AT3G59010,AT3G59010.1,pectin methylesterase 61 [Source:NCBI gene (formerly Entrezgene);Acc:825070]
AT3G59020,AT3G59020.2,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825071]
AT3G59030,AT3G59030.1,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:825072]
AT3G59040,AT3G59040.2,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825073]
AT3G59050,AT3G59050.1,polyamine oxidase 3 [Source:NCBI gene (formerly Entrezgene);Acc:825074]
AT3G59052,AT3G59052.1,
AT3G59060,AT3G59060.2,phytochrome interacting factor 3-like 6 [Source:NCBI gene (formerly Entrezgene);Acc:825075]
AT3G59068,AT3G59068.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:28719415]
AT3G59070,AT3G59070.1,Cytochrome b561/ferric reductase transmembrane with DOMON related domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825076]
AT3G59080,AT3G59080.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:825077]
AT3G59090,AT3G59090.2,tobamovirus multiplication protein [Source:NCBI gene (formerly Entrezgene);Acc:825078]
AT3G59100,AT3G59100.1,glucan synthase-like 11 [Source:NCBI gene (formerly Entrezgene);Acc:825079]
AT3G59110,AT3G59110.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825080]
AT3G59120,AT3G59120.1,Cysteine/Histidine-rich C1 domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:825081]
AT3G59130,AT3G59130.1,Cysteine/Histidine-rich C1 domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:825082]
AT3G59140,AT3G59140.1,multidrug resistance-associated protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:825083]
AT3G59150,AT3G59150.1,F-box/RNI superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825084]
AT3G59160,AT3G59160.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825085]
AT3G59170,AT3G59170.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825086]
AT3G59180,AT3G59180.1,Protein with RNI-like/FBD-like domain [Source:NCBI gene (formerly Entrezgene);Acc:825087]
AT3G59190,AT3G59190.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825088]
AT3G59200,AT3G59200.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825089]
AT3G59210,AT3G59210.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825090]
AT3G59220,AT3G59220.1,pirin [Source:NCBI gene (formerly Entrezgene);Acc:825091]
AT3G59230,AT3G59230.1,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825092]
AT3G59240,AT3G59240.1,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825093]
AT3G59250,AT3G59250.1,F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825094]
AT3G59260,AT3G59260.1,pirin [Source:NCBI gene (formerly Entrezgene);Acc:825095]
AT3G59270,AT3G59270.1,FBD-like domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:825096]
AT3G59280,AT3G59280.1,"Protein Transporter, Pam16 [Source:NCBI gene (formerly Entrezgene);Acc:825097]"
AT3G59290,AT3G59290.1,ENTH/VHS family protein [Source:NCBI gene (formerly Entrezgene);Acc:825098]
AT3G59300,AT3G59300.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825099]
AT3G59310,AT3G59310.2,solute carrier family 35 protein (DUF914) [Source:NCBI gene (formerly Entrezgene);Acc:825100]
AT3G59320,AT3G59320.1,solute carrier family 35 protein (DUF914) [Source:NCBI gene (formerly Entrezgene);Acc:825101]
AT3G59330,AT3G59330.1,solute carrier family 35 protein (DUF914) [Source:NCBI gene (formerly Entrezgene);Acc:825102]
AT3G59340,AT3G59340.1,solute carrier family 35 protein (DUF914) [Source:NCBI gene (formerly Entrezgene);Acc:825103]
AT3G59350,AT3G59350.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825104]
AT3G59360,AT3G59360.1,UDP-galactose transporter 6 [Source:NCBI gene (formerly Entrezgene);Acc:825105]
AT3G59370,AT3G59370.1,Vacuolar calcium-binding protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825106]
AT3G59380,AT3G59380.1,farnesyltransferase A [Source:NCBI gene (formerly Entrezgene);Acc:825107]
AT3G59390,AT3G59390.2,glycosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825108]
AT3G59400,AT3G59400.1,protein GENOMES UNCOUPLED 4 [Source:NCBI gene (formerly Entrezgene);Acc:825109]
AT3G59410,AT3G59410.2,protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825110]
AT3G59415,AT3G59415.1,""
AT3G59420,AT3G59420.1,crinkly4 [Source:NCBI gene (formerly Entrezgene);Acc:825111]
AT3G59430,AT3G59430.1,""
AT3G59440,AT3G59440.1,Calcium-binding EF-hand family protein [Source:NCBI gene (formerly Entrezgene);Acc:825113]
AT3G59450,AT3G59450.1,Calcium-binding EF-hand family protein [Source:NCBI gene (formerly Entrezgene);Acc:825114]
AT3G59455,AT3G59455.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:5008095]
AT3G59460,AT3G59460.1,F-box/LRR protein [Source:NCBI gene (formerly Entrezgene);Acc:825115]
AT3G59470,AT3G59470.1,Far-red impaired responsive (FAR1) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825116]
AT3G59480,AT3G59480.1,pfkB-like carbohydrate kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825117]
AT3G59490,AT3G59490.2,""
AT3G59500,AT3G59500.1,Integral membrane HRF1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825119]
AT3G59510,AT3G59510.1,Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:825120]
AT3G59520,AT3G59520.1,RHOMBOID-like protein 13 [Source:NCBI gene (formerly Entrezgene);Acc:825121]
AT3G59530,AT3G59530.1,Calcium-dependent phosphotriesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825122]
AT3G59540,AT3G59540.1,Ribosomal L38e protein family [Source:NCBI gene (formerly Entrezgene);Acc:825123]
AT3G59550,AT3G59550.1,Rad21/Rec8-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:825124]
AT3G59570,AT3G59570.1,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825126]
AT3G59580,AT3G59580.1,Plant regulator RWP-RK family protein [Source:NCBI gene (formerly Entrezgene);Acc:825127]
AT3G59590,AT3G59590.1,jacalin lectin family protein [Source:NCBI gene (formerly Entrezgene);Acc:825128]
AT3G59600,AT3G59600.1,RNA polymerase Rpb8 [Source:NCBI gene (formerly Entrezgene);Acc:825129]
AT3G59610,AT3G59610.1,F-box family protein / jacalin lectin family protein [Source:NCBI gene (formerly Entrezgene);Acc:825130]
AT3G59620,AT3G59620.1,Mannose-binding lectin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825131]
AT3G59630,AT3G59630.1,diphthamide synthesis DPH2 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825132]
AT3G59640,AT3G59640.1,glycine-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:825133]
AT3G59650,AT3G59650.2,mitochondrial ribosomal protein L51/S25/CI-B8 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825134]
AT3G59660,AT3G59660.1,C2 domain-containing protein / GRAM domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825135]
AT3G59670,AT3G59670.1,elongation factor [Source:NCBI gene (formerly Entrezgene);Acc:825136]
AT3G59680,AT3G59680.2,Serine/Threonine-kinase [Source:NCBI gene (formerly Entrezgene);Acc:825137]
AT3G59690,AT3G59690.1,IQ-domain 13 [Source:NCBI gene (formerly Entrezgene);Acc:825138]
AT3G59695,AT3G59695.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008096]
AT3G59700,AT3G59700.1,lectin-receptor kinase [Source:NCBI gene (formerly Entrezgene);Acc:825139]
AT3G59710,AT3G59710.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825140]
AT3G59720,AT3G59720.1,
AT3G59730,AT3G59730.1,Concanavalin A-like lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825142]
AT3G59740,AT3G59740.1,Concanavalin A-like lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825143]
AT3G59750,AT3G59750.1,Concanavalin A-like lectin protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825144]
AT3G59760,AT3G59760.1,O-acetylserine (thiol) lyase  [Source:NCBI gene (formerly Entrezgene);Acc:825145]
AT3G59765,AT3G59765.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5008097]
AT3G59770,AT3G59770.3,sacI homology domain-containing protein / WW domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825146]
AT3G59780,AT3G59780.1,Rhodanese/Cell cycle control phosphatase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825147]
AT3G59790,AT3G59790.1,MAP kinase 10 [Source:NCBI gene (formerly Entrezgene);Acc:825148]
AT3G59800,AT3G59800.1,stress response protein [Source:NCBI gene (formerly Entrezgene);Acc:825149]
AT3G59810,AT3G59810.1,Small nuclear ribonucleoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:825150]
AT3G59820,AT3G59820.2,LETM1-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825151]
AT3G59830,AT3G59830.1,Integrin-linked protein kinase family [Source:NCBI gene (formerly Entrezgene);Acc:825152]
AT3G59840,AT3G59840.1,allyl alcohol dehydrogenase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825153]
AT3G59845,AT3G59845.1,Zinc-binding dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825154]
AT3G59850,AT3G59850.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825155]
AT3G59860,AT3G59860.1,
AT3G59870,AT3G59870.1,""
AT3G59880,AT3G59880.1,""
AT3G59884,AT3G59884.1,ath-MIR827 [Source:miRBase;Acc:MI0005383]
AT3G59890,AT3G59890.1,"Dihydrodipicolinate reductase, bacterial/plant [Source:NCBI gene (formerly Entrezgene);Acc:825159]"
AT3G59900,AT3G59900.1,auxin-regulated involved in organ size [Source:NCBI gene (formerly Entrezgene);Acc:825160]
AT3G59910,AT3G59910.1,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:825161]
AT3G59920,AT3G59920.1,RAB GDP dissociation inhibitor 2 [Source:NCBI gene (formerly Entrezgene);Acc:825162]
AT3G59923,AT3G59923.1,""
AT3G59926,AT3G59926.1,""
AT3G59930,AT3G59930.1,defensin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825163]
AT3G59940,AT3G59940.1,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825164]
AT3G59950,AT3G59950.1,Peptidase family C54 protein [Source:NCBI gene (formerly Entrezgene);Acc:825165]
AT3G59960,AT3G59960.1,histone-lysine N-methyltransferase ASHH4 [Source:NCBI gene (formerly Entrezgene);Acc:825166]
AT3G59970,AT3G59970.3,methylenetetrahydrofolate reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:825167]
AT3G59980,AT3G59980.1,"Nucleic acid-binding, OB-fold-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825168]"
AT3G59990,AT3G59990.1,methionine aminopeptidase 2B [Source:NCBI gene (formerly Entrezgene);Acc:825169]
AT3G60000,AT3G60000.2,QWRF motif protein (DUF566) [Source:NCBI gene (formerly Entrezgene);Acc:825170]
AT3G60010,AT3G60010.1,SKP1-like 13 [Source:NCBI gene (formerly Entrezgene);Acc:825171]
AT3G60020,AT3G60020.1,SKP1-like 5 [Source:NCBI gene (formerly Entrezgene);Acc:825172]
AT3G60030,AT3G60030.1,squamosa promoter-binding protein-like 12 [Source:NCBI gene (formerly Entrezgene);Acc:825173]
AT3G60040,AT3G60040.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:825174]
AT3G60050,AT3G60050.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825175]
AT3G60060,AT3G60060.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825176]
AT3G60070,AT3G60070.1,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825177]
AT3G60075,AT3G60075.1,""
AT3G60080,AT3G60080.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825178]
AT3G60090,AT3G60090.1,VQ motif-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825179]
AT3G60100,AT3G60100.1,citrate synthase 5 [Source:NCBI gene (formerly Entrezgene);Acc:825180]
AT3G60110,AT3G60110.1,DNA-binding bromodomain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825181]
AT3G60120,AT3G60120.1,beta glucosidase 27 [Source:NCBI gene (formerly Entrezgene);Acc:825182]
AT3G60130,AT3G60130.1,beta glucosidase 16 [Source:NCBI gene (formerly Entrezgene);Acc:825183]
AT3G60140,AT3G60140.1,Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825184]
AT3G60150,AT3G60150.1,NADH dehydrogenase ubiquinone 1 alpha subcomplex assembly factor-like protein (DUF498/DUF598) [Source:NCBI gene (formerly Entrezgene);Acc:825185]
AT3G60160,AT3G60160.1,multidrug resistance-associated protein 9 [Source:NCBI gene (formerly Entrezgene);Acc:825186]
AT3G60164,AT3G60164.1,
AT3G60170,AT3G60170.1,
AT3G60176,AT3G60176.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6241367]
AT3G60180,AT3G60180.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825188]
AT3G60190,AT3G60190.1,DYNAMIN-like 1E [Source:NCBI gene (formerly Entrezgene);Acc:825189]
AT3G60200,AT3G60200.1,""
AT3G60210,AT3G60210.1,GroES-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:825191]
AT3G60220,AT3G60220.1,TOXICOS EN LEVADURA 4 [Source:NCBI gene (formerly Entrezgene);Acc:825192]
AT3G60238,AT3G60238.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:7922278]
AT3G60240,AT3G60240.4,eukaryotic translation initiation factor 4G [Source:NCBI gene (formerly Entrezgene);Acc:825194]
AT3G60245,AT3G60245.1,Zinc-binding ribosomal protein family protein [Source:NCBI gene (formerly Entrezgene);Acc:825195]
AT3G60250,AT3G60250.1,casein kinase II beta chain 3 [Source:NCBI gene (formerly Entrezgene);Acc:825196]
AT3G60260,AT3G60260.1,ELMO/CED-12 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825197]
AT3G60270,AT3G60270.1,Cupredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825198]
AT3G60280,AT3G60280.1,uclacyanin 3 [Source:NCBI gene (formerly Entrezgene);Acc:825199]
AT3G60286,AT3G60286.1,""
AT3G60290,AT3G60290.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825200]
AT3G60300,AT3G60300.2,RWD domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:825201]
AT3G60310,AT3G60310.1,acyl-CoA synthetase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825202]
AT3G60318,AT3G60318.1,
AT3G60320,AT3G60320.1,bZIP domain class transcription factor (DUF630 and DUF632) [Source:NCBI gene (formerly Entrezgene);Acc:825203]
AT3G60328,AT3G60328.1,""
AT3G60330,AT3G60330.1,H[+]-ATPase 7 [Source:NCBI gene (formerly Entrezgene);Acc:825204]
AT3G60340,AT3G60340.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825205]
AT3G60350,AT3G60350.1,ARABIDILLO-2 [Source:NCBI gene (formerly Entrezgene);Acc:825206]
AT3G60360,AT3G60360.1,embryo sac development arrest 14 [Source:NCBI gene (formerly Entrezgene);Acc:825207]
AT3G60370,AT3G60370.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825208]
AT3G60380,AT3G60380.1,cotton fiber protein [Source:NCBI gene (formerly Entrezgene);Acc:825209]
AT3G60390,AT3G60390.1,homeobox-leucine zipper protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:825210]
AT3G60400,AT3G60400.1,Mitochondrial transcription termination factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:825211]
AT3G60410,AT3G60410.1,""
AT3G60420,AT3G60420.2,phosphoglycerate mutase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825213]
AT3G60440,AT3G60440.1,Phosphoglycerate mutase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825215]
AT3G60450,AT3G60450.1,Phosphoglycerate mutase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825216]
AT3G60460,AT3G60460.1,myb-like HTH transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:825217]
AT3G60470,AT3G60470.1,"transmembrane protein, putative (DUF247) [Source:NCBI gene (formerly Entrezgene);Acc:825218]"
AT3G60480,AT3G60480.1,StAR lipid transfer-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825219]
AT3G60490,AT3G60490.1,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825220]
AT3G60500,AT3G60500.1,3'-5'-exoribonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:825221]
AT3G60510,AT3G60510.3,ATP-dependent caseinolytic (Clp) protease/crotonase family protein [Source:NCBI gene (formerly Entrezgene);Acc:825222]
AT3G60520,AT3G60520.1,zinc ion-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:825223]
AT3G60530,AT3G60530.1,GATA transcription factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:825224]
AT3G60540,AT3G60540.1,"Preprotein translocase Sec, Sec61-beta subunit protein [Source:NCBI gene (formerly Entrezgene);Acc:825225]"
AT3G60550,AT3G60550.1,cyclin p3;2 [Source:NCBI gene (formerly Entrezgene);Acc:825226]
AT3G60560,AT3G60560.1,""
AT3G60565,AT3G60565.1,
AT3G60570,AT3G60570.1,expansin B5 [Source:NCBI gene (formerly Entrezgene);Acc:825228]
AT3G60580,AT3G60580.1,C2H2-like zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:825229]
AT3G60590,AT3G60590.3,cytochrome P450 family protein [Source:NCBI gene (formerly Entrezgene);Acc:825230]
AT3G60600,AT3G60600.1,vesicle associated protein [Source:NCBI gene (formerly Entrezgene);Acc:825231]
AT3G60610,AT3G60610.1,
AT3G60613,AT3G60613.1,
AT3G60620,AT3G60620.1,cytidinediphosphate diacylglycerol synthase 5 [Source:NCBI gene (formerly Entrezgene);Acc:825233]
AT3G60630,AT3G60630.1,GRAS family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:825234]
AT3G60640,AT3G60640.1,Ubiquitin-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825235]
AT3G60647,AT3G60647.1,
AT3G60650,AT3G60650.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:825236]
AT3G60660,AT3G60660.1,spindle/kinetochore-associated-like protein [Source:NCBI gene (formerly Entrezgene);Acc:825237]
AT3G60670,AT3G60670.1,PLATZ transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:825238]
AT3G60680,AT3G60680.1,DUF641 family protein (DUF641) [Source:NCBI gene (formerly Entrezgene);Acc:825239]
AT3G60690,AT3G60690.1,SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:825240]
AT3G60700,AT3G60700.1,""
AT3G60710,AT3G60710.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:825242]
AT3G60720,AT3G60720.1,plasmodesmata-located protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:825243]
AT3G60730,AT3G60730.1,Plant invertase/pectin methylesterase inhibitor superfamily [Source:NCBI gene (formerly Entrezgene);Acc:825244]
AT3G60740,AT3G60740.1,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825245]
AT3G60750,AT3G60750.1,Transketolase [Source:NCBI gene (formerly Entrezgene);Acc:825246]
AT3G60760,AT3G60760.1,""
